ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			12			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		2140			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		5255			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			26			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			8			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		32			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			4			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			2			
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	1	ALCONA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				2	Y		
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			9			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		2075			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		3116			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			23			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			6			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		28			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			1			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			0			
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	2	ALGER	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			151			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		23648			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		43072			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			347			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			81			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		361			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			21			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			25			
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
